Term,Category,Definition,Synonyms,Standard Source,AI_Derivable,Measurement Unit
Color 266,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,True,RGB/HEX
Symmetry 267,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,True,score 0-1
Labellum 268,Floral Organ,Specialized petal forming a landing platform.,lip,AOS Glossary,True,text
Grex 269,Taxonomic,Group of hybrids from same parentage.,hybrid group,RHS Registry,False,text
Column 270,Floral Organ,Fused reproductive organ (stamens + pistil).,gynostemium,AOS Glossary,True,text
Flower Size 271,Quantitative Trait,Tip-to-tip spread.,natural spread,AOS Judging Handbook,False,cm
Dorsal Sepal 272,Floral Organ,Uppermost sepal.,upper sepal,AOS Glossary,True,mm
Flower Size 273,Quantitative Trait,Tip-to-tip spread.,natural spread,AOS Judging Handbook,True,cm
Leaf Shape 274,Vegetative,"Shape of leaf (lanceolate, linear, ovate).",none,MBG Glossary,True,text
Labellum 275,Floral Organ,Specialized petal forming a landing platform.,lip,AOS Glossary,False,text
Grex 276,Taxonomic,Group of hybrids from same parentage.,hybrid group,RHS Registry,True,text
Column 277,Floral Organ,Fused reproductive organ (stamens + pistil).,gynostemium,AOS Glossary,False,text
Flower Size 278,Quantitative Trait,Tip-to-tip spread.,natural spread,AOS Judging Handbook,True,cm
Leaf Shape 279,Vegetative,"Shape of leaf (lanceolate, linear, ovate).",none,MBG Glossary,False,text
Petal 280,Floral Organ,Inner perianth segment.,none,RHS Glossary,False,mm
Color 281,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,True,RGB/HEX
Color 282,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,True,RGB/HEX
Color 283,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,False,RGB/HEX
Dorsal Sepal 284,Floral Organ,Uppermost sepal.,upper sepal,AOS Glossary,False,mm
Form 285,Judging Trait,Overall flower shape and arrangement.,shape,AOS Judging Handbook,True,qualitative
Grex 286,Taxonomic,Group of hybrids from same parentage.,hybrid group,RHS Registry,True,text
Native Range 287,Environmental,Region/country of origin.,origin,Kew; EOL,True,text
Symmetry 288,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,True,score 0-1
Color 289,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,True,RGB/HEX
Native Range 290,Environmental,Region/country of origin.,origin,Kew; EOL,False,text
Symmetry 291,Judging Trait,Balance of flower: radial/bilateral.,none,AOS Judging Handbook,True,score 0-1
Grex 292,Taxonomic,Group of hybrids from same parentage.,hybrid group,RHS Registry,True,text
Labellum 293,Floral Organ,Specialized petal forming a landing platform.,lip,AOS Glossary,True,text
Form 294,Judging Trait,Overall flower shape and arrangement.,shape,AOS Judging Handbook,True,qualitative
Petal 295,Floral Organ,Inner perianth segment.,none,RHS Glossary,True,mm
Petal 296,Floral Organ,Inner perianth segment.,none,RHS Glossary,True,mm
Form 297,Judging Trait,Overall flower shape and arrangement.,shape,AOS Judging Handbook,False,qualitative
Dorsal Sepal 298,Floral Organ,Uppermost sepal.,upper sepal,AOS Glossary,True,mm
Form 299,Judging Trait,Overall flower shape and arrangement.,shape,AOS Judging Handbook,False,qualitative
Labellum 300,Floral Organ,Specialized petal forming a landing platform.,lip,AOS Glossary,True,text
Native Range 301,Environmental,Region/country of origin.,origin,Kew; EOL,True,text
Dorsal Sepal 302,Floral Organ,Uppermost sepal.,upper sepal,AOS Glossary,True,mm
Labellum 303,Floral Organ,Specialized petal forming a landing platform.,lip,AOS Glossary,False,text
Petal 304,Floral Organ,Inner perianth segment.,none,RHS Glossary,True,mm
Flower Size 305,Quantitative Trait,Tip-to-tip spread.,natural spread,AOS Judging Handbook,True,cm
Grex 306,Taxonomic,Group of hybrids from same parentage.,hybrid group,RHS Registry,False,text
Grex 307,Taxonomic,Group of hybrids from same parentage.,hybrid group,RHS Registry,True,text
Labellum 308,Floral Organ,Specialized petal forming a landing platform.,lip,AOS Glossary,True,text
Flower Size 309,Quantitative Trait,Tip-to-tip spread.,natural spread,AOS Judging Handbook,True,cm
Color 310,Phenotypic Trait,Base color of petals/sepals.,hue,RHS Color Chart,False,RGB/HEX
Flower Size 311,Quantitative Trait,Tip-to-tip spread.,natural spread,AOS Judging Handbook,True,cm
Petal 312,Floral Organ,Inner perianth segment.,none,RHS Glossary,False,mm
Native Range 313,Environmental,Region/country of origin.,origin,Kew; EOL,True,text
Petal 314,Floral Organ,Inner perianth segment.,none,RHS Glossary,True,mm
Petal 315,Floral Organ,Inner perianth segment.,none,RHS Glossary,False,mm
Dorsal Sepal 316,Floral Organ,Uppermost sepal.,upper sepal,AOS Glossary,True,mm
Flower Size 317,Quantitative Trait,Tip-to-tip spread.,natural spread,AOS Judging Handbook,False,cm
Grex 318,Taxonomic,Group of hybrids from same parentage.,hybrid group,RHS Registry,False,text
Grex 319,Taxonomic,Group of hybrids from same parentage.,hybrid group,RHS Registry,True,text
Column 320,Floral Organ,Fused reproductive organ (stamens + pistil).,gynostemium,AOS Glossary,True,text
